BPS_NAME,GROUPNAME,GROUPVEG,wet,vegcover,woodycover,treecover,ht,evergreen,needleevergreen,colddeciduous,NE,BE,DD,CD,NE0,BE0,DD0,CD0
Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Red Spruce-Balsam Fir-Yellow Birch-5,Hardwood-Conifer,0,100,95,95,20,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Acadian-Appalachian Alpine Tundra,Spruce-Bog Blueberry-Crowberry-5,Shrubland,0,99,25,0,1,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Acadian-Appalachian Montane Spruce-Fir Forest,Red Spruce-Balsam Fir-American Mountain Ash-5,Hardwood-Conifer,0,100,95,95,20,1,1,,1,0,0,0,1,0,0,0
Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Spruce-Bog Blueberry-Crowberry-5,Shrubland,0,99,60,10,1,1,1,,1,0,0,0,1,0,0,0
Alabama Ketona Glade and Woodland,Little Bluestem-Rosinweed-Chinquapin Oak-1,Hardwood,0,95,25,10,20,0,,1,0,0,0,1,0,0,0,1
Allegheny-Cumberland Dry Oak Forest and Woodland,White Oak-Scarlet Oak-Chestnut-1,Hardwood,0,100,85,85,25,0,,1,0,0,0,1,0,0,0,1
Allegheny-Cumberland Dry Oak Forest and Woodland,White Oak-Southern Red Oak-Chestnut-1,Hardwood,0,100,85,85,25,0,,1,0,0,0,1,0,0,0,1
Apacherian-Chihuahuan Mesquite Upland Scrub,Mesquite-2,Shrubland,0,25,25,0,3,,,,,,,,,,,
Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Grama-Creosote-2,Grassland,0,60,10,0,1,,,,,,,,,,,
Appalachian (Hemlock-)Northern Hardwood Forest,Beech-Hemlock-Sugar Maple-5,Hardwood,0,100,95,95,30,0.3,1,1,0.428571429,0,0,1,0.3,0,0,0.7
Appalachian Shale Barrens,Chestnut Oak-Virginia Pine-Rockcress-5,Hardwood,0,99,25,10,20,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Arkansas Valley Prairie and Woodland - Prairie,Little Bluestem-Indiangrass-Switchgrass-2,Grassland,0,99,0,0,,,,,,,,,,,,
Arkansas Valley Prairie and Woodland - Woodland,Little Bluestem-Indiangrass-1,Grassland,0,99,60,60,,,,,,,,,,,,
Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,Pond Cypress-1,Riparian,1,99,95,25,25,0.5,0.5,1,0.5,0.5,0,1,0.25,0.25,0,0.5
Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,Post Oak-Chinquapin Oak-Shortleaf Pine-1,Hardwood,0,100,95,95,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,Longleaf Pine-Pineland Threeawn-Beyrich Threeawn-1,Conifer,0,99,60,60,25,1,0.9,,1,0.111111111,0,0,0.9,0.1,0,0
Atlantic Coastal Plain Mesic Hardwood Forest,Beech-Cherrybark Oak-Tulip Tree-3,Hardwood,0,100,95,95,30,0,,1,0,0,0,1,0,0,0,1
Atlantic Coastal Plain Mesic Hardwood Forest,Beech-White Oak-Southern Sugar Maple-3,Hardwood,0,100,95,95,30,0,,1,0,0,0,1,0,0,0,1
