BIOMENAME1,biome,wet,vegcover,woodycover,treecover,ht,evergreen,needleevergreen,colddeciduous,NE,BE,DD,CD,NE0,BE0,DD0,CD0
California Chaparral,chaparral,0,99,60,0,3,1,0,,0,1,0,0,0,1,0,0
Chihuahuan Interior Chaparral,chaparral,0,99,60,0,3,0.9,0,0,0,1,0.111111111,0,0,0.9,0.1,0
Southwestern (Arizona) Interior Chaparral,chaparral,0,99,60,0,3,1,0,,0,1,0,0,0,1,0,0
Caribbean Cloud and Montane Evergreen Forests,cloud forest,0,99,95,95,20,1,0.1,,0.111111111,1,0,0,0.1,0.9,0,0
Central American Cloud Forest,cloud forest,0,99,95,95,30,1,0.1,,0.111111111,1,0,0,0.1,0.9,0,0
Guatemalan Cloud Forest,cloud forest,0,99,95,95,30,0.6,0.1,1,0.111111111,1,0,0.740740741,0.06,0.54,0,0.4
Veracruz Cloud Forest,cloud forest,0,99,95,95,30,0.6,0.1,1,0.111111111,1,0,0.740740741,0.06,0.54,0,0.4
Oregonian Coastal Conifer Forest,coastal conifer forest,0,99,95,95,60,1,1,,1,0,0,0,1,0,0,0
Sitka Coastal Conifer Forest,coastal conifer forest,0,99,95,95,60,1,1,,1,0,0,0,1,0,0,0
California Coastalscrub,coastal scrub,0,99,60,0,,0.5,0,0,0,1,1,0,0,0.5,0.5,0
Alaskan Swamp Scrub,cold swamp,1,99,60,0,,0,,1,0,0,0,1,0,0,0,1
Great Basin Conifer Woodland,conifer woodland,0,99,60,25,15,1,1,,1,0,0,0,1,0,0,0
Chihuahuan Desertscrub Cochise-Tranpecos,desertscrub,0,25,25,0,,,,,,,,,,,,
Chihuahuan Desertscrub Mampimi,desertscrub,0,25,25,0,,,,,,,,,,,,
Chihuahuan Desertscrub Saldan,desertscrub,0,25,25,0,,,,,,,,,,,,
Great Basin Desertscrub,desertscrub,0,25,25,0,,,,,,,,,,,,
Mohave Desertscrub,desertscrub,0,25,25,0,,,,,,,,,,,,
Sonoran Desertscrub Arizona Uplands,desertscrub,0,25,25,0,,,,,,,,,,,,
Sonoran Desertscrub Central Gulf Coast,desertscrub,0,25,25,0,,,,,,,,,,,,
Sonoran Desertscrub Lower Colorado River Valley,desertscrub,0,25,25,0,,,,,,,,,,,,
Sonoran Desertscrub Plains of Sonora,desertscrub,0,25,25,0,,,,,,,,,,,,
Sonoran Desertscrub Vizcaino,desertscrub,0,25,25,0,,,,,,,,,,,,
Central American (Guanacaste) Dry Forest,dry deciduous forest,0,99,80,60,12,0,,0,0,0,1,0,0,0,1,0
Guerreran Dry Deciduous Forest,dry deciduous forest,0,99,80,60,12,0,,0,0,0,1,0,0,0,1,0
San Lucan Dry Deciduous Forest,dry deciduous forest,0,99,80,60,12,0,,0,0,0,1,0,0,0,1,0
Sinaloan Dry Deciduous (Monsoon) Forest,dry deciduous forest,0,99,80,60,12,0,,0,0,0,1,0,0,0,1,0
Yucatan Dry Deciduous Forest,dry deciduous forest,0,99,80,60,12,0,,0,0,0,1,0,0,0,1,0
Central American Evergreen Rain Forest,evergreen rain forest,0,99,95,95,40,1,0,,0,1,0,0,0,1,0,0
Veracruz Evergreen Rain Forest,evergreen rain forest,0,99,95,95,40,1,0,,0,1,0,0,0,1,0,0
California Evergreen Forest and Woodland,evergreen woodland,0,99,80,60,40,1,0.5,,1,1,0,0,0.5,0.5,0,0
Guatemalan Evergreen Forest and Woodland,evergreen woodland,0,99,80,70,30,1,,,0,1,0,0,0,1,0,0
Guerreran Evergreen Forest and Woodland,evergreen woodland,0,99,80,70,30,1,,,0,1,0,0,0,1,0,0
Madrean Evergreen Forest and Woodland,evergreen woodland,0,99,80,70,30,1,,,0,1,0,0,0,1,0,0
San Lucan Evergreen Forest and Woodland,evergreen woodland,0,99,80,70,25,1,,,0,1,0,0,0,1,0,0
Transvolcanic Evergreen Foreast and Woodland,evergreen woodland,0,99,80,70,30,1,,,0,1,0,0,0,1,0,0
California Valley Grassland,grassland,0,99,0,0,,,,,,,,,,,,
Gulf Coastal Grassland,grassland,0,99,0,0,,,,,,,,,,,,
Permanent Ice and Snow,ice,0,0,0,0,,,,,,,,,,,,
Open Water Lakes,lake,,,,,,,,,,,,,,,,
"Plains Grassland, Midgrass Communities",midgrass prairie,0,99,0,0,,,,,,,,,,,,
"Northeastern Deciduous Forest, Conifer & Deciduous",mixed deciduous forest,0,100,95,95,30,0.5,1,1,1,0,0,1,0.5,0,0,0.5
Oregonian Deciduous and Evergreen Forests,mixed evergreen forest,0,99,60,60,30,0.5,0.9,1,0.9,0.1,0,1,0.45,0.05,0,0.5
Southeastern Deciduous and Evergreen Forests,mixed evergreen forest,0,99,60,60,30,0.6,0.5,1,0.75,0.75,0,1,0.3,0.3,0,0.4
"Southwestern Deciduous and Evergreen Forests, Balcones Subdi",mixed evergreen forest,0,99,60,60,25,0.6,0.5,1,0.75,0.75,0,1,0.3,0.3,0,0.4
Cascade-Sierran Montane Conifer Forest,montane conifer forest,0,99,95,95,60,1,1,1,1,0,0,0,1,0,0,0
Guatemalan Montane Conifer Forest,montane conifer forest,0,99,95,95,25,1,0.9,1,1,0.111111111,0,0,0.9,0.1,0,0
Madrean Montane Conifer Forest,montane conifer forest,0,99,95,95,25,1,0.9,1,1,0.111111111,0,0,0.9,0.1,0,0
Rocky Mountain Montane Conifer Forest,montane conifer forest,0,99,95,95,25,1,1,1,1,0,0,0,1,0,0,0
Transvolcanic Montane Conifer Forest,montane conifer forest,0,99,95,95,25,1,0.9,1,1,0.111111111,0,0,0.9,0.1,0,0
Campechian Montane Evergreen Forest,montane evergreen forest,0,99,95,95,40,1,0.9,1,1,0.111111111,0,0,0.9,0.1,0,0
Great Basin Montane Scrub,montane scrub,0,99,60,0,3,,,1,0,0,0,1,0,0,0,1
Central American Paramo,paramo,0,99,0,0,3,,,,,,,,,,,
Caribbean Dry Deciduous and Semi-deciduous Forests,semi-deciduous forest,0,99,90,60,12,0.3,0,0,0,0.428571429,1,0,0,0.3,0.7,0
Tamaulipan Semi-deciduous Forest,semi-deciduous forest,0,99,90,60,12,0.3,0,0,0,0.428571429,1,0,0,0.3,0.7,0
Yucatan Semi-deciduous Forest,semi-deciduous forest,0,99,90,60,12,0.3,0,0,0,0.428571429,1,0,0,0.3,0.7,0
Semidesert Grassland,semidesert grassland,0,60,0,0,,,,,,,,,,,,
Campechian Semi-evergreen Forest,semi-evergreen forest,0,99,90,60,30,0.7,0,0,0,1,0.428571429,0,0,0.7,0.3,0
Caribbean Lowland Evergreen and Semi-evergreen Forests,semi-evergreen forest,0,99,90,60,30,0.7,0,0,0,1,0.428571429,0,0,0.7,0.3,0
Central American Semi-evergreen Forest,semi-evergreen forest,0,99,90,60,30,0.7,0,0,0,1,0.428571429,0,0,0.7,0.3,0
Floridian Evergreen Forest,semi-evergreen forest,0,99,90,60,30,0.7,0,0,0,1,0.428571429,0,0,0.7,0.3,0
Nayarit Semi-evergreen Forest,semi-evergreen forest,0,99,90,60,30,0.7,0,0,0,1,0.428571429,0,0,0.7,0.3,0
Veracruz Semi-evergreen Forest,semi-evergreen forest,0,99,90,60,30,0.7,0,0,0,1,0.428571429,0,0,0.7,0.3,0
"Plains Grassland, Shortgrass Communities",shortgrass prairie,0,99,0,0,,,,,,,,,,,,
Great Basin Shrub-Grassland,shrub-grassland,0,60,10,0,,,,,,,,,,,,
Adirondack-Appalachian Subalpine Conifer Forest,subalpine forest,0,99,95,95,20,1,1,,1,0,0,0,1,0,0,0
Cascade-Sierran Subalpine Conifer Forest,subalpine forest,0,99,95,95,20,1,1,,1,0,0,0,1,0,0,0
Rocky Mountain Subalpine Conifer Forest,subalpine forest,0,99,95,95,20,1,1,,1,0,0,0,1,0,0,0
Alaska-Yukon Subarctic Conifer Conifer Forest,taiga,0,99,95,80,15,1,1,,1,0,0,0,1,0,0,0
Canadian Taiga,taiga,0,99,95,80,15,1,1,,1,0,0,0,1,0,0,0
"Plains Grassland, Tallgrass Communities",tallgrass prairie,0,99,0,0,,,,,,,,,,,,
"Northeastern Deciduous Forest, Beech & Maple",temperate deciduous forest,0,99,95,95,30,0,,1,0,0,0,1,0,0,0,1
"Northeastern Deciduous Forest, Maple & Basswood",temperate deciduous forest,0,99,95,95,30,0,,1,0,0,0,1,0,0,0,1
