VEGCODE,LEGCODE,COVERTYPE,wet,vegcover,woodycover,treecover,ht,evergreen,needleevergreen,colddeciduous,NE,BE,DD,CD,NE0,BE0,DD0,CD0
31,31,GRASSLAND,0,99,0,0,,,,,,,,,,,,
332,332,BLACK OAK BARREN,0,99,25,10,25,0,1,1,0,0,0,1,0,0,0,1
333,333,PINE BARRENS,0,99,25,5,25,1,1,1,1,0,0,0,1,0,0,0
334,334,OAK/PINE BARRENS,0,99,25,10,25,0.5,1,1,1,0,0,1,0.5,0,0,0.5
413,413,ASPEN-BIRCH FOREST,0,99,95,95,25,0,1,1,0,0,0,1,0,0,0,1
4121,4121,BEECH-SUGAR MAPLE FOREST,0,100,95,95,30,0,1,1,0,0,0,1,0,0,0,1
4122,4122,OAK-HICKORY FOREST,0,100,95,95,25,0,1,1,0,0,0,1,0,0,0,1
4141,4141,BLACK ASH SWAMP,1,100,95,95,25,0,1,1,0,0,0,1,0,0,0,1
4217,4217,WHITE PINE-WHITE OAK FOREST,0,100,95,95,30,0.5,1,1,1,0,0,1,0.5,0,0,0.5
4218,4218,MIXED PINE-OAK FOREST,0,100,95,95,30,0.5,1,1,1,0,0,1,0.5,0,0,0.5
4219,4219,WHITE PINE-MIXED HARDWOOD FOREST,0,100,95,95,40,0.5,1,1,1,0,0,1,0.5,0,0,0.5
4229,4229,HEMLOCK-YELLOW BIRCH FOREST,0,100,95,95,30,0.5,1,1,1,0,0,1,0.5,0,0,0.5
4231,4231,CEDAR SWAMP,1,100,95,95,20,1,1,1,1,0,0,0,1,0,0,0
331,331/335/336,MIXED OAK SAVANNA,0,99,25,25,25,0,1,1,0,0,0,1,0,0,0,1
335,331/335/336,MIXED OAK SAVANNA,0,99,25,25,25,0,1,1,0,0,0,1,0,0,0,1
336,331/335/336,MIXED OAK SAVANNA,0,99,25,25,25,0,1,1,0,0,0,1,0,0,0,1
41,41/414/4142/4143/4144/4145/4146/4147/414,MIXED HARDWOOD SWAMP,1,99,95,95,30,0,1,1,0,0,0,1,0,0,0,1
414,41/414/4142/4143/4144/4145/4146/4147/414,MIXED HARDWOOD SWAMP,1,99,95,95,30,0,1,1,0,0,0,1,0,0,0,1
4142,41/414/4142/4143/4144/4145/4146/4147/414,MIXED HARDWOOD SWAMP,1,99,95,95,30,0,1,1,0,0,0,1,0,0,0,1
4143,41/414/4142/4143/4144/4145/4146/4147/414,MIXED HARDWOOD SWAMP,1,99,95,95,30,0,1,1,0,0,0,1,0,0,0,1
4144,41/414/4142/4143/4144/4145/4146/4147/414,MIXED HARDWOOD SWAMP,1,99,95,95,30,0,1,1,0,0,0,1,0,0,0,1
4145,41/414/4142/4143/4144/4145/4146/4147/414,MIXED HARDWOOD SWAMP,1,99,95,95,30,0,1,1,0,0,0,1,0,0,0,1
4146,41/414/4142/4143/4144/4145/4146/4147/414,MIXED HARDWOOD SWAMP,1,99,95,95,30,0,1,1,0,0,0,1,0,0,0,1
4147,41/414/4142/4143/4144/4145/4146/4147/414,MIXED HARDWOOD SWAMP,1,99,95,95,30,0,1,1,0,0,0,1,0,0,0,1
4148,41/414/4142/4143/4144/4145/4146/4147/414,MIXED HARDWOOD SWAMP,1,99,95,95,30,0,1,1,0,0,0,1,0,0,0,1
4119,4111/4119,BEECH-SUGAR MAPLE-HEMLOCK FOREST,0,100,95,95,30,0.3,1,1,0.428571429,0,0,1,0.3,0,0,0.7
4111,4111/4119 /4228,BEECH-SUGAR MAPLE-HEMLOCK FOREST,0,100,95,95,30,0.3,1,1,0.428571429,0,0,1,0.3,0,0,0.7
4228,4111/4119 /4228,BEECH-SUGAR MAPLE-HEMLOCK FOREST,0,100,95,95,30,0.3,1,1,0.428571429,0,0,1,0.3,0,0,0.7
4111,4111/4119/4228,BEECH-SUGAR MAPLE-HEMLOCK FOREST,0,100,95,95,30,0.3,1,1,0.428571429,0,0,1,0.3,0,0,0.7
4119,4111/4119/4228,BEECH-SUGAR MAPLE-HEMLOCK FOREST,0,100,95,95,30,0.3,1,1,0.428571429,0,0,1,0.3,0,0,0.7
4123,4123 /4124,MIXED OAK FOREST,0,99,85,85,25,0,1,1,0,0,0,1,0,0,0,1
4124,4123/4124,MIXED OAK FOREST,0,99,85,85,25,0,1,1,0,0,0,1,0,0,0,1
42,42/423/4232/4233/4234/4235/4236/4237,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
423,42/423/4232/4233/4234/4235/4236/4237,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
4232,42/423/4232/4233/4234/4235/4236/4237,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
4233,42/423/4232/4233/4234/4235/4236/4237,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
4236,42/423/4232/4233/4234/4235/4236/4237,MIXED CONIFER SWAMP,1,99,95,95,15,1,1,1,1,0,0,0,1,0,0,0
