VEG_CDE,NAME,wet,vegcover,woodycover,treecover,ht,evergreen,needleevergreen,colddeciduous,NE,BE,DD,CD,NE0,BE0,DD0,CD0
1,Beech Forests,0,100,95,95,30,0,1,1,0,0,0,1,0,0,0,1
2,Mixed Oak Forests,0,100,95,95,25,0,1,1,0,0,0,1,0,0,0,1
3,Oak-Sugar Maple Forests,0,100,95,95,30,0,1,1,0,0,0,1,0,0,0,1
4,Elm-Ash Swamp Forests,0,99,95,95,30,0,1,1,0,0,0,1,0,0,0,1
5,Mixed Mesophytic Forests,0,100,95,95,40,0.1,1,1,0.111111111,0,0,1,0.1,0,0,0.9
6,Prairie Grasslands,0,99,0,0,,,,,,,,,,,,
7,Oak Savannas,0,99,25,25,25,0,1,1,0,0,0,1,0,0,0,1
8,Freshwater Marshes and Fens,1,99,25,0,3,,,,,,,,,,,
9,Sphagnum Peat Bogs,1,99,75,10,15,0.5,1,1,1,0,0,1,0.5,0,0,0.5
10,Bottomland Hardwood Forests,1,99,95,95,30,0,1,1,0,0,0,1,0,0,0,1
11,"Hemlock, Beech, Chestnut, Red Oak Forests",0,100,95,95,30,0.3,1,1,0.428571429,0,0,1,0.3,0,0,0.7
12,White Pine-Red Maple Swamp Forests,1,99,95,95,30,0.5,1,1,1,0,0,1,0.5,0,0,0.5
13,Beach,0.1,0.1,0,0,,,,,,,,,,,,
