ECO_ID,REALM,BIOME,BIOME_NAME,ECO_NAME,wet,vegcover,woodycover,treecover
10101,AA,1,Tropical and subtropical moist broadleaf forests,Admiralty Islands lowland rain forests,0,100,95,95
10102,AA,1,Tropical and subtropical moist broadleaf forests,Banda Sea Islands moist deciduous forests,0,100,95,95
10103,AA,1,Tropical and subtropical moist broadleaf forests,Biak-Numfoor rain forests,0,100,95,95
10104,AA,1,Tropical and subtropical moist broadleaf forests,Buru rain forests,0,100,95,95
10105,AA,1,Tropical and subtropical moist broadleaf forests,Central Range montane rain forests,0,100,95,95
10106,AA,1,Tropical and subtropical moist broadleaf forests,Halmahera rain forests,0,100,95,95
10107,AA,1,Tropical and subtropical moist broadleaf forests,Huon Peninsula montane rain forests,0,100,95,95
10108,AA,1,Tropical and subtropical moist broadleaf forests,Japen rain forests,0,100,95,95
10109,AA,1,Tropical and subtropical moist broadleaf forests,Lord Howe Island subtropical forests,0,100,95,95
10110,AA,1,Tropical and subtropical moist broadleaf forests,Louisiade Archipelago rain forests,0,100,95,95
10111,AA,1,Tropical and subtropical moist broadleaf forests,New Britain-New Ireland lowland rain forests,0,100,95,95
10112,AA,1,Tropical and subtropical moist broadleaf forests,New Britain-New Ireland montane rain forests,0,100,95,95
10113,AA,1,Tropical and subtropical moist broadleaf forests,New Caledonia rain forests,0,100,95,95
10114,AA,1,Tropical and subtropical moist broadleaf forests,Norfolk Island subtropical forests,0,100,95,95
10115,AA,1,Tropical and subtropical moist broadleaf forests,Northern New Guinea lowland rain and freshwater swamp forests,1,100,95,95
10116,AA,1,Tropical and subtropical moist broadleaf forests,Northern New Guinea montane rain forests,0,100,95,95
10117,AA,1,Tropical and subtropical moist broadleaf forests,Queensland tropical rain forests,0,100,95,95
10118,AA,1,Tropical and subtropical moist broadleaf forests,Seram rain forests,0,100,95,95
10119,AA,1,Tropical and subtropical moist broadleaf forests,Solomon Islands rain forests,0,100,95,95
10120,AA,1,Tropical and subtropical moist broadleaf forests,Southeastern Papuan rain forests,0,100,95,95
10121,AA,1,Tropical and subtropical moist broadleaf forests,Southern New Guinea freshwater swamp forests,1,100,95,95
10122,AA,1,Tropical and subtropical moist broadleaf forests,Southern New Guinea lowland rain forests,0,100,95,95
10123,AA,1,Tropical and subtropical moist broadleaf forests,Sulawesi lowland rain forests,0,100,95,95
10124,AA,1,Tropical and subtropical moist broadleaf forests,Sulawesi montane rain forests,0,100,95,95
10125,AA,1,Tropical and subtropical moist broadleaf forests,Trobriand Islands rain forests,0,100,95,95
10126,AA,1,Tropical and subtropical moist broadleaf forests,Vanuatu rain forests,0,100,95,95
10127,AA,1,Tropical and subtropical moist broadleaf forests,Vogelkop montane rain forests,0,100,95,95
10128,AA,1,Tropical and subtropical moist broadleaf forests,Vogelkop-Aru lowland rain forests,0,100,95,95
30101,AT,1,Tropical and subtropical moist broadleaf forests,Albertine Rift montane forests,0,100,95,95
30102,AT,1,Tropical and subtropical moist broadleaf forests,Atlantic Equatorial coastal forests,0,100,95,95
30103,AT,1,Tropical and subtropical moist broadleaf forests,Cameroonian Highlands forests,0,100,95,95
30104,AT,1,Tropical and subtropical moist broadleaf forests,Central Congolian lowland forests,0,100,95,95
30105,AT,1,Tropical and subtropical moist broadleaf forests,Comoros forests,0,100,95,95
30106,AT,1,Tropical and subtropical moist broadleaf forests,Cross-Niger transition forests,0,100,95,95
30107,AT,1,Tropical and subtropical moist broadleaf forests,Cross-Sanaga-Bioko coastal forests,0,100,95,95
30108,AT,1,Tropical and subtropical moist broadleaf forests,East African montane forests,0,100,95,95
30109,AT,1,Tropical and subtropical moist broadleaf forests,Eastern Arc forests,0,100,95,95
30110,AT,1,Tropical and subtropical moist broadleaf forests,Eastern Congolian swamp forests,1,100,95,95
30111,AT,1,Tropical and subtropical moist broadleaf forests,Eastern Guinean forests,0,100,95,95
30112,AT,1,Tropical and subtropical moist broadleaf forests,Ethiopian montane forests,0,100,95,95
