ECO_ID,m,p3AET,Tg,Tcc,REALM,BIOME,BIOME_NAME,ECO_NAME,altbiom2023,wet,vegcover,woodycover,treecover,evergreen,altbiome
-9999,4.812539101,41.83,0.330656439,-27.81809235,,99,"Snow, ice, glaciers, and rock",Rock and ice,,0,0,0,0,,0
-9998,0.714965105,138.30,15.26086426,-22.28281498,,98,Water,Lake,,,,,,,
-9998,0.714965105,138.30,15.26086426,-22.28281498,AT,98,Water,Lake,,,,,,,
10101,3.037848353,308.44,26.80708981,26.57250309,AA,1,Tropical and subtropical moist broadleaf forests,Admiralty Islands lowland rain forests,9,0,100,95,95,1,111
10102,1.740337789,282.76,27.13492298,24.89042282,AA,1,Tropical and subtropical moist broadleaf forests,Banda Sea Islands moist deciduous forests,9,0,100,95,95,0,113
10103,2.583970785,287.67,25.56314659,24.96680355,AA,1,Tropical and subtropical moist broadleaf forests,Biak-Numfoor rain forests,9,0,100,95,95,1,111
10104,2.218165159,276.21,24.30513573,22.01280022,AA,1,Tropical and subtropical moist broadleaf forests,Buru rain forests,9,0,100,95,95,1,111
10105,3.253360271,265.45,18.76538849,17.06176376,AA,1,Tropical and subtropical moist broadleaf forests,Central Range montane rain forests,4.3,0,100,95,95,1,112
10106,1.854322314,295.87,26.75199318,26.17878056,AA,1,Tropical and subtropical moist broadleaf forests,Halmahera rain forests,9,0,100,95,95,1,111
10107,2.227946997,297.62,24.97092628,23.71089363,AA,1,Tropical and subtropical moist broadleaf forests,Huon Peninsula montane rain forests,4.3,0,100,95,95,1,112
10108,2.708868742,296.75,26.48780823,25.84593582,AA,1,Tropical and subtropical moist broadleaf forests,Japen rain forests,9,0,100,95,95,1,111
10110,2.815940976,306.50,26.4942894,24.9855547,AA,1,Tropical and subtropical moist broadleaf forests,Louisiade Archipelago rain forests,9,0,100,95,95,1,111
10111,3.128703117,295.15,25.65511131,24.76298523,AA,1,Tropical and subtropical moist broadleaf forests,New Britain-New Ireland lowland rain forests,9,0,100,95,95,1,111
10112,3.753978968,270.31,23.26874638,21.82894135,AA,1,Tropical and subtropical moist broadleaf forests,New Britain-New Ireland montane rain forests,4.3,0,100,95,95,1,112
10113,1.90388751,293.01,23.82523823,19.01659966,AA,1,Tropical and subtropical moist broadleaf forests,New Caledonia rain forests,9,0,100,95,95,1,111
10114,1.954490304,240.73,20.4192524,15.37606239,AA,1,Tropical and subtropical moist broadleaf forests,Norfolk Island subtropical forests,9,0,100,95,95,1,120
10115,2.51312685,309.52,26.77515411,26.10014343,AA,1,Tropical and subtropical moist broadleaf forests,Northern New Guinea lowland rain and freshwater swamp forests,9,1,100,95,95,1,1111
10116,2.382935166,296.72,24.42905617,23.61963558,AA,1,Tropical and subtropical moist broadleaf forests,Northern New Guinea montane rain forests,4.3,0,100,95,95,1,112
10117,1.630380452,323.69,25.81186199,16.91585827,AA,1,Tropical and subtropical moist broadleaf forests,Queensland tropical rain forests,9,0,100,95,95,1,111
10118,2.949681878,289.81,26.39874554,24.42187214,AA,1,Tropical and subtropical moist broadleaf forests,Seram rain forests,9,0,100,95,95,1,111
10119,3.316293478,290.54,26.39084435,25.50612259,AA,1,Tropical and subtropical moist broadleaf forests,Solomon Islands rain forests,9,0,100,95,95,1,111
