ECO_ID,m,p3AET,Tg,Tcc,REALM,BIOME,BIOME_NAME,ECO_NAME,biome2,wet,vegcover,woodycover,treecover,evergreen,altbiome
-9999,2.227673531,45.97605896,0.69956845,-31.28562164,,99,"Snow, ice, glaciers, and rock",Rock and ice,,0,0,0,0,,0
10101,3.184275627,305.9270325,26.50199318,26.22382927,AA,1,Tropical and subtropical moist broadleaf forests,Admiralty Islands lowland rain forests,tropical,0,100,95,95,1,111
10102,1.648342848,287.97052,27.7725544,25.63816452,AA,1,Tropical and subtropical moist broadleaf forests,Banda Sea Islands moist deciduous forests,tropical,0,100,95,95,0,113
10103,2.47076726,300.3083496,26.78355408,26.259655,AA,1,Tropical and subtropical moist broadleaf forests,Biak-Numfoor rain forests,tropical,0,100,95,95,1,111
10104,1.916906714,300.0889893,26.99259949,24.82401276,AA,1,Tropical and subtropical moist broadleaf forests,Buru rain forests,tropical,0,100,95,95,1,111
10105,3.348193169,273.3472595,20.94356537,19.39922333,AA,1,Tropical and subtropical moist broadleaf forests,Central Range montane rain forests,montane,0,100,95,95,1,112
10106,1.881842136,293.0945129,26.62148476,25.44674873,AA,1,Tropical and subtropical moist broadleaf forests,Halmahera rain forests,tropical,0,100,95,95,1,111
10107,2.282188416,287.585022,23.60272026,22.82279396,AA,1,Tropical and subtropical moist broadleaf forests,Huon Peninsula montane rain forests,montane,0,100,95,95,1,112
10108,2.807856202,293.6106873,26.0654192,25.21538448,AA,1,Tropical and subtropical moist broadleaf forests,Japen rain forests,tropical,0,100,95,95,1,111
10110,2.902919531,302.807724,25.99852943,24.54627037,AA,1,Tropical and subtropical moist broadleaf forests,Louisiade Archipelago rain forests,tropical,0,100,95,95,1,111
10111,3.056051254,292.1170044,26.22434807,24.86367798,AA,1,Tropical and subtropical moist broadleaf forests,New Britain-New Ireland lowland rain forests,tropical,0,100,95,95,1,111
10112,2.633199453,258.9118958,21.85516739,20.80205345,AA,1,Tropical and subtropical moist broadleaf forests,New Britain-New Ireland montane rain forests,montane,0,100,95,95,1,112
10113,2.085002899,293.9120789,24.73683739,19.89696503,AA,1,Tropical and subtropical moist broadleaf forests,New Caledonia rain forests,tropical,0,100,95,95,1,111
10114,1.954490304,240.7295532,20.4192524,15.37606239,AA,1,Tropical and subtropical moist broadleaf forests,Norfolk Island subtropical forests,subtropical,0,100,95,95,1,111
10115,2.362800479,307.238205,26.55706787,25.75641537,AA,1,Tropical and subtropical moist broadleaf forests,Northern New Guinea lowland rain and freshwater swamp forests,tropical,1,100,95,95,1,1111
10116,2.542734146,291.6569214,24.63575935,23.43844223,AA,1,Tropical and subtropical moist broadleaf forests,Northern New Guinea montane rain forests,montane,0,100,95,95,1,112
10117,1.594982982,318.2113647,24.53067493,16.79926682,AA,1,Tropical and subtropical moist broadleaf forests,Queensland tropical rain forests,tropical,0,100,95,95,1,111
10118,3.225145102,286.7053833,26.03325272,24.5404377,AA,1,Tropical and subtropical moist broadleaf forests,Seram rain forests,tropical,0,100,95,95,1,111
10119,3.005485773,296.769104,26.68714333,25.59614563,AA,1,Tropical and subtropical moist broadleaf forests,Solomon Islands rain forests,tropical,0,100,95,95,1,111
10120,2.485630512,291.320343,20.83854485,18.99671745,AA,1,Tropical and subtropical moist broadleaf forests,Southeastern Papuan rain forests,tropical,0,100,95,95,1,111
10121,2.812667489,329.3906708,27.15843201,24.93462181,AA,1,Tropical and subtropical moist broadleaf forests,Southern New Guinea freshwater swamp forests,tropical,1,100,95,95,1,1111
10122,3.025756359,328.218689,27.1348114,24.92850685,AA,1,Tropical and subtropical moist broadleaf forests,Southern New Guinea lowland rain forests,tropical,0,100,95,95,1,111
10123,1.706610799,310.8907166,27.08042431,25.90897274,AA,1,Tropical and subtropical moist broadleaf forests,Sulawesi lowland rain forests,tropical,0,100,95,95,1,111
10124,2.064627767,270.4915314,22.41647148,21.41015625,AA,1,Tropical and subtropical moist broadleaf forests,Sulawesi montane rain forests,montane,0,100,95,95,1,112
10125,3.088811398,312.6055603,26.83828545,25.06422806,AA,1,Tropical and subtropical moist broadleaf forests,Trobriand Islands rain forests,tropical,0,100,95,95,1,111
10126,4.122855902,277.2349854,24.83825111,23.83049297,AA,1,Tropical and subtropical moist broadleaf forests,Vanuatu rain forests,tropical,0,100,95,95,1,111
10127,2.880058289,276.0335693,24.76112175,23.60283089,AA,1,Tropical and subtropical moist broadleaf forests,Vogelkop montane rain forests,montane,0,100,95,95,1,112
10128,2.76679945,290.06073,26.42969131,25.18046951,AA,1,Tropical and subtropical moist broadleaf forests,Vogelkop-Aru lowland rain forests,tropical,0,100,95,95,1,111
10201,1.072219372,306.8950195,25.89368057,24.78184128,AA,2,Tropical and subtropical dry broadleaf forests,Lesser Sundas deciduous forests,tropical,0,99,90,60,0,114
10202,1.679200292,299.7506104,25.05676079,19.81285286,AA,2,Tropical and subtropical dry broadleaf forests,New Caledonia dry forests,tropical,0,99,90,60,0,310
10203,1.187554538,350.4126587,26.62840843,24.8660574,AA,2,Tropical and subtropical dry broadleaf forests,Sumba deciduous forests,tropical,0,99,90,60,0,114
10204,1.238389969,276.5158997,25.48557472,23.28703117,AA,2,Tropical and subtropical dry broadleaf forests,Timor and Wetar deciduous forests,tropical,0,99,90,60,0,114
10401,1.880338013,196.4838409,13.85283756,7.831331015,AA,4,Temperate broadleaf and mixed forests,Chatham Island temperate forests,oceanic,0,100,95,95,1,133
10402,0.978483438,293.6406708,21.01385307,10.46879625,AA,4,Temperate broadleaf and mixed forests,Eastern Australian temperate forests,warm,0,100,95,95,1,120
10403,5.320540428,215.6225891,11.92817974,4.327514648,AA,4,Temperate broadleaf and mixed forests,Fiordland temperate forests,oceanic,0,100,95,95,1,133
10404,6.497937202,216.3089142,13.26590824,4.519264698,AA,4,Temperate broadleaf and mixed forests,Nelson Coast temperate forests,oceanic,0,100,95,95,1,133
10405,2.523736238,253.0344238,15.5354681,7.935838223,AA,4,Temperate broadleaf and mixed forests,North Island temperate forests,oceanic,0,100,95,95,1,133
10406,2.133324623,255.007431,17.01714134,9.643920422,AA,4,Temperate broadleaf and mixed forests,Northland temperate kauri forests,oceanic,0,100,95,95,1,133
10407,3.105214596,208.4214554,11.06692314,5.68841958,AA,4,Temperate broadleaf and mixed forests,Rakiura Island temperate forests,oceanic,0,100,95,95,1,133
10408,3.148254633,222.3712921,13.10760021,4.43260169,AA,4,Temperate broadleaf and mixed forests,Richmond temperate forests,oceanic,0,100,95,95,1,133
10409,0.681042552,152.5,18.60292053,7.588091373,AA,4,Temperate broadleaf and mixed forests,Southeast Australia temperate forests,warm,0,100,95,95,1,120
10410,2.75266552,228.5758972,12.52513599,3.817770004,AA,4,Temperate broadleaf and mixed forests,South Island temperate forests,oceanic,0,100,95,95,1,133
10411,1.853777409,182.2718811,12.57425499,4.900990963,AA,4,Temperate broadleaf and mixed forests,Tasmanian Central Highland forests,oceanic,0,100,95,95,1,133
10412,1.153514624,172.7000122,15.35541058,7.342648506,AA,4,Temperate broadleaf and mixed forests,Tasmanian temperate forests,oceanic,0,100,95,95,1,133
10413,2.442052841,205.6259155,13.97870159,7.722000122,AA,4,Temperate broadleaf and mixed forests,Tasmanian temperate rain forests,oceanic,0,100,95,95,1,133
10414,6.211760521,220.7507629,14.10787201,6.465607166,AA,4,Temperate broadleaf and mixed forests,Westland temperate forests,oceanic,0,100,95,95,1,133
